STA,Latitude,Longitude
0+300,-0.955244444,116.6901528
0+325,-0.955211111,116.6900194
0+350,-0.955219444,116.6898694
0+375,-0.955230556,116.6896972
0+400,-0.955230556,116.6895556
0+425,-0.955191667,116.6893806
0+450,-0.955105556,116.6892528
0+475,-0.955008333,116.6891778
0+500,-0.954863889,116.6891361
0+525,-0.954644444,116.6890861
0+550,-0.954469444,116.6889778
0+575,-0.954402778,116.6888083
0+600,-0.95425,116.688675
0+625,-0.954030556,116.6886833
0+650,-0.953772222,116.6887694
0+675,-0.953558333,116.6888222
0+700,-0.953319444,116.6888806
0+725,-0.953108333,116.6889278
0+750,-0.952866667,116.6888944
0+775,-0.952658333,116.6888111
0+800,-0.952413889,116.6886472
0+825,-0.952202778,116.6886333
0+850,-0.951952778,116.6885694
0+875,-0.951708333,116.6885833
0+900,-0.951452778,116.6886333
0+925,-0.951244444,116.6886972
0+950,-0.951022222,116.6887806
0+975,-0.950855556,116.6889139
1+000,-0.950677778,116.6890639
1+025,-0.950516667,116.6891806
1+050,-0.950330556,116.6892111
1+075,-0.950163889,116.6891528
1+100,-0.950038889,116.6890361
1+125,-0.949897222,116.6889028
1+150,-0.949755556,116.6887778
1+175,-0.949597222,116.6886333
1+200,-0.949405556,116.6885111
1+225,-0.949155556,116.6884
1+250,-0.948916667,116.6884361
1+275,-0.948711111,116.6885694
1+300,-0.948575,116.68875
1+325,-0.948441667,116.6888861
1+350,-0.948255556,116.6890194
1+375,-0.948083333,116.6890639
1+400,-0.9479,116.6890861
1+425,-0.947669444,116.6890194
1+450,-0.947419444,116.6889444
1+475,-0.947208333,116.6888639
1+500,-0.947,116.6888278
1+525,-0.9468,116.6888722
1+550,-0.946630556,116.6889389
1+575,-0.946475,116.6890111
1+600,-0.946336111,116.6890917
1+625,-0.946197222,116.6891861
1+650,-0.946016667,116.6892972
1+675,-0.945844444,116.6893861
1+700,-0.945688889,116.6894611
1+725,-0.945475,116.6895472
1+750,-0.945263889,116.6896444
1+775,-0.945083333,116.6897528
1+800,-0.944897222,116.6898778
1+825,-0.944691667,116.6900306
1+850,-0.944494444,116.6901861
1+875,-0.944319444,116.6903194
1+900,-0.944130556,116.6904611
1+925,-0.943925,116.6905944
1+950,-0.943686111,116.6906917
1+975,-0.943469444,116.6907722
2+000,-0.943263889,116.6908306
2+025,-0.942961111,116.6908889
2+050,-0.942686111,116.6909583
2+075,-0.942405556,116.6910389
2+100,-0.942161111,116.6911111
2+125,-0.941886111,116.6912167
2+150,-0.941658333,116.6913417
2+175,-0.941419444,116.6914972
2+200,-0.941213889,116.6916694
2+225,-0.940972222,116.6918917
2+250,-0.940755556,116.6921083
2+275,-0.940547222,116.6923361
2+300,-0.940369444,116.6925583
2+325,-0.940202778,116.6928083
2+350,-0.940041667,116.6930667
2+375,-0.939891667,116.6933222
2+400,-0.9398,116.6935667
2+425,-0.939736111,116.6937833
2+450,-0.939708333,116.6940111
2+475,-0.939683333,116.6942056
2+500,-0.939644444,116.6944111
2+525,-0.939588889,116.694625
2+550,-0.939508333,116.6948194
2+575,-0.939391667,116.6949972
2+600,-0.939297222,116.69515
2+625,-0.939147222,116.6953278
2+650,-0.939011111,116.6954861
2+675,-0.938833333,116.6956389
2+700,-0.938683333,116.6957417
2+725,-0.938463889,116.6958083
2+750,-0.938269444,116.69585
2+775,-0.938075,116.6958917
2+800,-0.937891667,116.6959333
2+825,-0.9377,116.6959694
2+850,-0.937527778,116.6960056
2+875,-0.937341667,116.696075
2+900,-0.937197222,116.6961389
2+925,-0.937033333,116.6962472
2+950,-0.9369,116.6963583
2+975,-0.936777778,116.6965111
3+000,-0.936652778,116.6966361
3+025,-0.936494444,116.6967389
3+050,-0.936336111,116.6968194
3+075,-0.936158333,116.6968889
3+100,-0.935991667,116.6969389
3+125,-0.935775,116.6970028
3+150,-0.935583333,116.6970361
3+175,-0.935369444,116.6970889
3+200,-0.935175,116.6971417
3+225,-0.934975,116.6971972
3+250,-0.934794444,116.6972389
3+275,-0.934575,116.6972861
3+300,-0.934386111,116.6973278
3+325,-0.934186111,116.6973778
3+350,-0.934008333,116.6974417
3+375,-0.933819444,116.6975278
3+400,-0.933647222,116.6976278
3+425,-0.933436111,116.6977333
3+450,-0.933233333,116.6978472
3+475,-0.933033333,116.6979667
3+500,-0.932838889,116.6980806
3+525,-0.932641667,116.6982056
3+550,-0.932458333,116.6983167
3+575,-0.932263889,116.6984083
3+600,-0.932072222,116.6985
3+625,-0.931866667,116.6985944
3+650,-0.931666667,116.6986861
3+675,-0.931477778,116.6987556
3+700,-0.931294444,116.6987833
3+725,-0.931138889,116.6988111
3+750,-0.931,116.6988056
3+775,-0.930841667,116.6987944
3+800,-0.930705556,116.6987861
3+825,-0.930483333,116.6988167
3+850,-0.930261111,116.6988611
3+875,-0.930058333,116.6988667
3+900,-0.929888889,116.6988417
3+925,-0.929636111,116.6987722
3+950,-0.929425,116.69865
3+975,-0.929230556,116.6984444
4+000,-0.929033333,116.6981917
4+025,-0.928833333,116.698025
4+050,-0.928625,116.6978806
4+070,-0.928436111,116.6978028
